CASENBR,ITERLVL,CDFCLEVN,CDFCLRCV,CDOFCRCV,CDSTATUS,STATRSN1,STATRSN2,STATRSN3,STATRSN4,STATRSN5,CDSUB1PR,CDSUB1SC,sdtdue,sdtstat,sitdtrcv,accept,reject,deny,grant,other,submit,filed,diffreg_filed,diffinst,closed,comptime,timely,diffreg_answer,overdue,untimely,resubmit,noinfres,attachmt,wronglvl,otherrej,cdsub1cb,subcount,rejcount,cldclocount,clgacccount,earliest_sitdtrcv,latest_sdtstat,days_between
1197876,F,OTV,OTV,OTV,REJ,INF,,,,,30,Z,,2024-04-30,2024-04-29,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,30Z,1,1,0,0,2024-04-29,2024-04-30,1
1193795,R,OTV,OTV,NER,REJ,RSR,OTH,,,,28,Z,,2024-04-29,2024-04-26,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,28Z,2,1,1,0,2024-03-21,2024-04-29,39
1197491,F,BRO,BRO,BRO,REJ,MSI,,,,,25,E,,2024-04-25,2024-04-25,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,25E,1,1,0,0,2024-04-25,2024-04-25,0
1197733,R,OTV,OTV,NER,REJ,INS,,,,,20,D,,2024-04-29,2024-04-25,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-04-25,2024-04-29,4
1197741,R,OTV,OTV,NER,REJ,MLT,UTR,MEM,RSR,OTH,20,D,,2024-04-29,2024-04-25,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2024-04-25,2024-04-29,4
1197522,R,RBK,RBK,NER,REJ,UTR,MEM,RSR,OTH,,31,Z,,2024-04-25,2024-04-24,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,31Z,1,1,0,0,2024-04-24,2024-04-25,1
1197501,R,OTV,OTV,NER,ACC,,,,,,20,D,2024-06-23,2024-04-25,2024-04-24,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-04-24,2024-04-25,1
1197498,R,CNK,CNK,NER,REJ,UTR,MEM,OTH,RSR,,20,D,,2024-04-25,2024-04-24,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2024-04-24,2024-04-25,1
1197549,R,CNK,CPG,NER,REJ,INF,OTH,,,,31,Z,,2024-04-25,2024-04-24,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,31Z,1,1,0,0,2024-04-24,2024-04-25,1
1197403,R,BRO,BRO,NER,REJ,QUA,LEG,RSR,,,20,E,,2024-04-24,2024-04-23,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20E,1,1,0,0,2024-04-23,2024-04-24,1
1197095,F,BRO,BRO,BRO,REJ,OTH,,,,,26,A,,2024-04-22,2024-04-22,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,26A,1,1,0,0,2024-04-22,2024-04-22,0
1192466,R,OTV,OTV,NER,ACC,,,,,,26,A,2024-06-21,2024-04-23,2024-04-22,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,26A,2,0,0,2,2024-03-08,2024-04-23,46
1197487,F,BRO,BRO,BRO,CLD,DNY,,,,,18,Z,2024-05-12,2024-05-09,2024-04-22,0,0,1,0,0,1,1,,0.0,1,17.0,1.0,,,,,,,,,18Z,1,0,1,0,2024-04-22,2024-05-09,17
1196988,F,RBK,RBK,RBK,CLD,DNY,,,,,31,Z,2024-05-09,2024-05-21,2024-04-19,0,0,1,0,0,1,1,,0.0,1,32.0,0.0,,,,,,,,,31Z,1,0,1,0,2024-04-19,2024-05-21,32
1197069,R,RBK,RBK,NER,REJ,DHO,RSR,,,,20,D,,2024-04-22,2024-04-19,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-04-19,2024-04-22,3
1197056,F,BRO,BRO,BRO,REJ,WRL,UTR,,,,20,G,,2024-04-18,2024-04-18,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,20G,1,1,0,0,2024-04-18,2024-04-18,0
1197059,F,BRO,BRO,BRO,REJ,INF,,,,,26,A,,2024-04-18,2024-04-18,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,26A,1,1,0,0,2024-04-18,2024-04-18,0
1197068,F,BRO,BRO,BRO,ACC,,,,,,21,A,2024-05-08,2024-04-18,2024-04-18,1,0,0,0,0,1,1,,0.0,0,,,,1.0,,,,,,,21A,1,0,0,1,2024-04-18,2024-04-18,0
1197162,F,BRO,BRO,BRO,ACC,,,,,,26,A,2024-05-08,2024-04-18,2024-04-18,1,0,0,0,0,1,1,,0.0,0,,,,1.0,,,,,,,26A,1,0,0,1,2024-04-18,2024-04-18,0
1196975,R,BRO,BRO,NER,ACC,,,,,,20,D,2024-06-17,2024-04-19,2024-04-18,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-04-18,2024-04-19,1
1192381,R,BRO,BRO,NER,REJ,DIR,OTH,,,,35,A,,2024-04-18,2024-04-18,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,35A,2,2,0,0,2024-03-07,2024-04-18,42
1197176,F,BRO,BRO,BRO,CLG,GRT,,,,,13,Z,2024-05-08,2024-04-30,2024-04-18,0,0,0,1,0,1,1,,0.0,1,12.0,1.0,,,,,,,,,13Z,1,0,0,1,2024-04-18,2024-04-30,12
1157183,A,OTV,TCN,BOP,REJ,DIR,WRL,OTH,,,20,D,,2024-04-25,2024-04-17,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,1.0,20D,5,5,0,0,2023-03-07,2024-04-25,415
